step,epoch,loss,grad_norm,learning_rate,eval_loss,eval_cer,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
50,0.02,13.660484619140625,49.79084014892578,2.94e-05,,,,,,,,,,,
100,0.04,3.75497802734375,5.3214850425720215,5.94e-05,,,,,,,,,,,
150,0.06,1.514579315185547,7.7353410720825195,8.939999999999999e-05,,,,,,,,,,,
200,0.08,0.9267863464355469,3.60892653465271,0.0001194,,,,,,,,,,,
250,0.1,0.48360008239746094,4.934258460998535,0.0001494,,,,,,,,,,,
300,0.12,0.3416679000854492,2.080434560775757,0.00017939999999999997,,,,,,,,,,,
350,0.14,0.2649247741699219,2.869124412536621,0.00020939999999999997,,,,,,,,,,,
400,0.16,0.2522408866882324,1.7267203330993652,0.0002394,,,,,,,,,,,
450,0.18,0.23934192657470704,1.9991334676742554,0.0002694,,,,,,,,,,,
500,0.2,0.23796897888183594,2.9160239696502686,0.00029939999999999996,,,,,,,,,,,
500,0.2,,,,0.01113470084965229,0.00693568085772041,0.029495925716222463,578.4916,0.346,0.173,,,,,
550,0.22,0.2009866142272949,1.5536231994628906,0.00029265,,,,,,,,,,,
600,0.24,0.18710134506225587,3.697188138961792,0.00028514999999999997,,,,,,,,,,,
650,0.26,0.17552732467651366,1.1528421640396118,0.00027764999999999995,,,,,,,,,,,
700,0.28,0.1677446174621582,1.0581778287887573,0.00027015,,,,,,,,,,,
750,0.3,0.15022629737854004,1.6173514127731323,0.00026264999999999996,,,,,,,,,,,
800,0.32,0.1499407958984375,1.0811176300048828,0.00025515,,,,,,,,,,,
850,0.34,0.1346776294708252,2.195716142654419,0.00024765,,,,,,,,,,,
900,0.36,0.131340913772583,2.1568896770477295,0.00024014999999999998,,,,,,,,,,,
950,0.38,0.13253629684448243,1.3537088632583618,0.00023264999999999996,,,,,,,,,,,
1000,0.4,0.11689670562744141,0.9839323163032532,0.00022514999999999997,,,,,,,,,,,
1000,0.4,,,,0.010754207149147987,0.0031493883804690082,0.019440463500656466,574.6279,0.348,0.174,,,,,
1050,0.42,0.12761884689331054,1.6205390691757202,0.00021764999999999998,,,,,,,,,,,
1100,0.44,0.10325894355773926,0.7305546402931213,0.00021014999999999999,,,,,,,,,,,
1150,0.46,0.10778437614440918,1.034753441810608,0.00020264999999999997,,,,,,,,,,,
1200,0.48,0.08967131614685059,0.5612881779670715,0.00019514999999999997,,,,,,,,,,,
1250,0.5,0.09030348777770997,1.7625770568847656,0.00018764999999999998,,,,,,,,,,,
1300,0.52,0.07632986068725586,1.488797903060913,0.00018015,,,,,,,,,,,
1350,0.54,0.07961627006530762,0.33053234219551086,0.00017265,,,,,,,,,,,
1400,0.56,0.08512393951416015,1.0075172185897827,0.00016514999999999998,,,,,,,,,,,
1450,0.58,0.0805594825744629,1.1835222244262695,0.00015764999999999998,,,,,,,,,,,
1500,0.6,0.07635809898376465,0.7251260876655579,0.00015014999999999996,,,,,,,,,,,
1500,0.6,,,,0.008189566433429718,0.0029835759306552794,0.018603103014426695,574.1628,0.348,0.174,,,,,
1550,0.62,0.06768568992614746,4.01804256439209,0.00014264999999999997,,,,,,,,,,,
1600,0.64,0.0728859806060791,8.510411262512207,0.00013514999999999998,,,,,,,,,,,
1650,0.66,0.060167946815490723,0.8540809154510498,0.00012764999999999999,,,,,,,,,,,
1700,0.68,0.054999098777771,1.2518421411514282,0.00012014999999999999,,,,,,,,,,,
1750,0.7,0.07099138259887695,0.9688705205917358,0.00011264999999999999,,,,,,,,,,,
1800,0.72,0.05612786769866943,1.01905357837677,0.00010514999999999998,,,,,,,,,,,
1850,0.74,0.05785171508789062,0.6533114314079285,9.764999999999999e-05,,,,,,,,,,,
1900,0.76,0.062294387817382814,0.27187713980674744,9.014999999999998e-05,,,,,,,,,,,
1950,0.78,0.04969422817230225,0.41526809334754944,8.265e-05,,,,,,,,,,,
2000,0.8,0.05158649921417236,0.36424434185028076,7.515e-05,,,,,,,,,,,
2000,0.8,,,,0.0064942436292767525,0.0025683524759615877,0.015124675677971386,572.7093,0.349,0.175,,,,,
2050,0.82,0.051109638214111325,0.8825159072875977,6.764999999999999e-05,,,,,,,,,,,
2100,0.84,0.05754123687744141,0.7788258790969849,6.015e-05,,,,,,,,,,,
2150,0.86,0.04605537414550781,0.8559929728507996,5.264999999999999e-05,,,,,,,,,,,
2200,0.88,0.04589943408966064,1.3946250677108765,4.514999999999999e-05,,,,,,,,,,,
2250,0.9,0.04007018089294433,1.390989065170288,3.7649999999999994e-05,,,,,,,,,,,
2300,0.92,0.04065829277038574,0.3619605302810669,3.0149999999999998e-05,,,,,,,,,,,
2350,0.94,0.03444888830184936,0.4264812469482422,2.2649999999999998e-05,,,,,,,,,,,
2400,0.96,0.0353262186050415,0.2972138524055481,1.5149999999999999e-05,,,,,,,,,,,
2450,0.98,0.04969760417938232,1.4986538887023926,7.65e-06,,,,,,,,,,,
2500,1.0,0.04051779270172119,0.5527321696281433,1.5e-07,,,,,,,,,,,
2500,1.0,,,,0.006496137473732233,0.0020945910626307485,0.012322513898738886,554.7796,0.361,0.18,,,,,
2500,1.0,,,,,,,,,,5784.759,6.915,0.432,2.9919018424467456e+16,0.5037157095432282
